,co,no,no2,o3,so2,pm2_5,pm10,nh3,aqi
0,313.76,0.01,0.79,36.84,0.21,2.92,3.11,0.47,1
1,320.44,0.05,0.85,40.77,0.31,2.91,3.15,0.51,1
2,333.79,0.08,0.75,49.35,0.47,3.35,3.69,0.57,1
3,357.15,0.09,0.69,62.94,0.7,4.78,5.32,0.72,1
4,397.21,0.08,0.68,82.97,1.12,7.92,8.72,0.94,2
5,423.91,0.07,0.73,94.41,1.45,10.3,11.26,1.11,2
6,440.6,0.05,0.81,98.71,1.67,13.14,14.35,1.27,2
7,453.95,0.04,0.95,101.57,1.85,16.89,18.49,1.44,2
8,460.63,0.03,1.09,103.0,1.94,21.71,23.86,1.62,3
9,467.3,0.02,1.24,104.43,2.0,25.6,28.26,1.79,4
10,480.65,0.01,1.84,98.71,1.97,27.83,30.73,2.06,4
11,494.0,0.01,2.74,87.26,1.86,29.65,32.7,2.34,4
12,494.0,0.0,3.13,77.96,1.68,30.48,33.71,2.63,4
13,487.33,0.0,3.13,70.81,1.49,29.84,33.17,2.98,4
14,460.63,0.0,2.61,66.52,1.15,26.84,29.75,2.69,4
15,420.57,0.0,1.86,65.8,0.83,21.99,24.1,2.12,3
16,380.52,0.0,1.37,66.52,0.61,17.08,18.43,1.71,2
17,350.48,0.0,1.16,62.94,0.45,14.53,15.48,1.58,2
18,323.77,0.0,0.88,60.8,0.34,13.42,14.18,1.46,2
19,307.08,0.0,0.63,60.8,0.27,12.17,12.83,1.3,2
20,300.41,0.0,0.57,60.8,0.25,11.66,12.31,1.25,2
21,303.75,0.0,0.55,60.08,0.22,11.03,11.64,1.24,2
22,303.75,0.0,0.53,58.65,0.2,9.44,9.96,1.24,1
23,307.08,0.0,0.52,55.79,0.18,7.21,7.64,1.17,1
24,317.1,0.01,0.63,49.35,0.19,6.15,6.57,1.06,1
25,327.11,0.06,0.69,41.84,0.23,5.95,6.4,0.92,1
26,330.45,0.1,0.71,39.34,0.25,5.65,6.1,0.9,1
27,333.79,0.12,0.67,42.2,0.26,4.94,5.34,0.93,1
28,333.79,0.07,0.79,47.92,0.29,4.33,4.66,0.92,1
29,333.79,0.06,0.95,56.51,0.4,5.09,5.48,0.86,1
30,347.14,0.05,1.04,65.09,0.57,6.89,7.5,0.89,1
31,363.83,0.03,1.18,71.53,0.79,8.04,8.93,1.03,1
32,377.18,0.03,1.26,75.1,0.95,8.3,9.41,1.2,1
33,383.85,0.03,1.34,78.68,1.07,8.51,9.72,1.36,1
34,390.53,0.03,1.76,77.25,1.15,8.49,9.76,1.6,1
35,403.88,0.02,2.4,71.53,1.18,7.54,8.8,1.79,1
36,403.88,0.0,2.66,65.09,1.1,6.12,7.34,1.85,1
37,390.53,0.0,2.49,58.65,0.95,5.22,6.45,1.9,1
38,373.84,0.0,2.04,55.08,0.8,5.1,6.17,1.71,1
39,360.49,0.0,1.59,56.51,0.69,5.64,6.44,1.47,1
40,343.8,0.0,1.26,59.37,0.59,5.9,6.41,1.25,1
41,323.77,0.0,1.16,56.51,0.45,5.79,6.2,1.25,1
42,303.75,0.0,1.03,52.93,0.34,5.78,6.18,1.3,1
43,290.39,0.0,0.94,49.35,0.26,5.73,6.15,1.31,1
44,280.38,0.0,0.88,43.99,0.21,5.26,5.68,1.2,1
45,270.37,0.0,0.76,36.48,0.17,4.2,4.58,0.98,1
46,263.69,0.0,0.64,28.25,0.14,3.33,3.66,0.75,1
47,260.35,0.0,0.55,21.82,0.13,2.6,2.89,0.56,1
48,267.03,0.05,0.48,19.13,0.14,2.36,2.65,0.45,1
49,273.71,0.09,0.47,21.1,0.16,2.17,2.46,0.42,1
50,280.38,0.1,0.43,23.96,0.17,1.96,2.23,0.43,1
51,280.38,0.09,0.38,26.82,0.16,1.77,2.0,0.48,1
52,277.04,0.04,0.51,28.97,0.17,1.64,1.83,0.55,1
53,280.38,0.04,0.62,31.11,0.19,2.07,2.27,0.62,1
54,283.72,0.04,0.71,34.33,0.23,2.64,2.88,0.7,1
55,287.06,0.05,0.83,40.05,0.28,3.4,3.69,0.77,1
56,300.41,0.09,0.9,47.21,0.35,4.35,4.72,0.87,1
57,310.42,0.11,0.95,54.36,0.43,4.84,5.24,0.97,1
58,317.1,0.09,1.1,58.65,0.5,4.91,5.31,1.06,1
59,317.1,0.03,1.25,57.94,0.52,4.47,4.82,1.08,1
60,307.08,0.0,1.19,54.36,0.48,3.66,3.96,1.01,1
61,293.73,0.0,1.14,49.35,0.43,2.61,2.88,0.94,1
62,287.06,0.0,1.13,45.42,0.38,2.17,2.44,0.89,1
63,283.72,0.0,1.09,41.84,0.34,2.22,2.5,0.88,1
64,277.04,0.0,1.05,37.55,0.29,2.32,2.61,0.88,1
65,277.04,0.0,0.99,31.83,0.24,2.08,2.35,0.9,1
66,280.38,0.0,0.9,26.46,0.21,1.91,2.17,0.88,1
67,283.72,0.0,0.78,22.53,0.17,1.92,2.19,0.78,1
68,287.06,0.0,0.61,20.03,0.14,1.98,2.24,0.6,1
69,300.41,0.0,0.45,18.95,0.12,2.26,2.51,0.41,1
70,323.77,0.0,0.39,19.31,0.12,2.82,3.08,0.32,1
71,347.14,0.0,0.45,20.39,0.13,2.74,2.97,0.31,1
72,367.17,0.01,0.64,21.1,0.17,2.41,2.6,0.32,1
73,367.17,0.03,0.88,22.89,0.21,2.26,2.42,0.34,1
74,353.81,0.05,0.94,27.54,0.26,2.04,2.18,0.34,1
75,343.8,0.06,0.92,36.48,0.36,1.89,2.03,0.31,1
76,347.14,0.03,1.05,53.64,0.56,1.6,1.72,0.27,1
77,370.5,0.01,1.23,65.8,0.76,1.64,1.77,0.33,1
78,393.87,0.01,1.39,71.53,0.93,1.75,1.9,0.5,1
79,417.23,0.0,1.61,75.1,1.13,1.92,2.08,0.72,1
80,440.6,0.0,1.8,73.67,1.28,2.23,2.4,0.93,1
81,460.63,0.0,2.21,68.67,1.48,3.88,4.09,1.03,1
82,500.68,0.0,3.51,54.36,1.85,7.63,8.12,1.14,1
83,534.06,0.0,5.44,39.7,2.35,12.38,13.33,1.28,2
84,560.76,0.0,6.68,31.11,2.44,15.11,16.51,1.55,2
85,580.79,0.0,7.45,26.46,2.62,17.05,19.3,3.71,2
86,600.82,0.0,8.65,24.68,3.07,19.22,22.7,7.35,2
87,627.52,0.0,9.94,22.89,3.37,20.87,25.48,10.51,3
